CrimeDate,CrimeCode,Location,Description,Weapon,District,Neighborhood
7/4/2016,6B,5400 HARFORD RD,LARCENY,,NORTHEASTERN,Waltherson
7/4/2016,6G,1200 W NORTH AVE,LARCENY,,WESTERN,Penn North
7/4/2016,6C,1500 HARFORD AVE,LARCENY,,EASTERN,Oliver
7/4/2016,6G,200 N GAY ST,LARCENY,,EASTERN,Jonestown
7/4/2016,6E,2900 MALLVIEW RD,LARCENY,,SOUTHERN,Lakeland
7/4/2016,6G,1600 EDMONDSON AVE,LARCENY,,WESTERN,Harlem Park
7/4/2016,6E,4100 W BELVEDERE AVE,LARCENY,,NORTHWESTERN,Woodmere
7/4/2016,6J,600 CHERRY HILL RD,LARCENY,,SOUTHERN,Cherry Hill
7/4/2016,6J,2200 PENROSE AVE,LARCENY,,WESTERN,Penrose/Fayette Street Ou
7/4/2016,6F,6000 PARK HEIGHTS AVE,LARCENY,,NORTHWESTERN,Glen
7/4/2016,6J,300 PONTIAC AVE,LARCENY,,SOUTHERN,Brooklyn
7/4/2016,6C,4400 BELAIR RD,LARCENY,,NORTHEASTERN,Belair-Edison
7/4/2016,6F,3300 NERAK RD,LARCENY,,NORTHWESTERN,Cross Country
7/3/2016,6G,3100 GREENMOUNT AVE,LARCENY,,NORTHERN,Abell
7/3/2016,6F,3100 SHELBURNE RD,LARCENY,,NORTHWESTERN,Cross Country
7/3/2016,6E,1000 MOUNT HOLLY ST,LARCENY,,SOUTHWESTERN,Edmondson Village
7/3/2016,6E,1900 GRINNALDS AVE,LARCENY,,SOUTHWESTERN,Morrell Park
7/3/2016,6E,5400 LOTHIAN RD,LARCENY,,NORTHERN,Mid-Govans
7/3/2016,6C,2400 FREDERICK AVE,LARCENY,,SOUTHWESTERN,Millhill
7/3/2016,6J,1000 QUANTRIL WAY,LARCENY,,NORTHEASTERN,Armistead Gardens
7/3/2016,6J,3800 CALLAWAY AVE,LARCENY,,NORTHWESTERN,Callaway-Garrison
7/3/2016,6E,5800 CLOVER RD,LARCENY,,NORTHWESTERN,Glen
7/3/2016,6E,1100 W HAMBURG ST,LARCENY,,SOUTHERN,Washington Village/Pigtow
7/3/2016,6J,3100 CLIFTMONT AVE,LARCENY,,NORTHEASTERN,Belair-Edison
7/3/2016,6J,3100 SWANN DR,LARCENY,,NORTHERN,Druid Hill Park
7/3/2016,6C,1000 W 41ST ST,LARCENY,,NORTHERN,Hoes Heights
7/3/2016,6G,200 E CENTRE ST,LARCENY,,CENTRAL,Mount Vernon
7/3/2016,6J,600 E CHASE ST,LARCENY,,EASTERN,Johnston Square
7/3/2016,6C,200 MCMECHEN ST,LARCENY,,CENTRAL,Bolton Hill
7/3/2016,6E,2400 SEAMON AVE,LARCENY,,SOUTHERN,Cherry Hill
7/3/2016,6J,100 S EAST AVE,LARCENY,,SOUTHEASTERN,Patterson Park Neighborho
7/3/2016,6J,1400 HOMESTEAD ST,LARCENY,,NORTHEASTERN,Coldstream Homestead Mont
7/3/2016,6B,5300 HARFORD RD,LARCENY,,NORTHEASTERN,Hamilton Hills
7/3/2016,6B,800 JACK ST,LARCENY,,SOUTHERN,Brooklyn
7/3/2016,6F,2000 CLIPPER PARK RD,LARCENY,,NORTHERN,Woodberry
7/3/2016,6C,3100 W NORTH AVE,LARCENY,,SOUTHWESTERN,Northwest Community Actio
7/3/2016,6C,200 MCMECHEN ST,LARCENY,,CENTRAL,Bolton Hill
7/3/2016,6G,3400 PULASKI HWY,LARCENY,,SOUTHEASTERN,Baltimore Highlands
7/3/2016,6E,200 S DALLAS CT,LARCENY,,SOUTHEASTERN,Perkins Homes
7/3/2016,6J,5700 BELAIR RD,LARCENY,,NORTHEASTERN,Frankford
7/3/2016,6C,5700 BELAIR RD,LARCENY,,NORTHEASTERN,Frankford
7/3/2016,6E,4800 MIDLINE RD,LARCENY,,NORTHEASTERN,Frankford
7/3/2016,6J,1700 PRESSTMAN ST,LARCENY,,WESTERN,Sandtown-Winchester
7/3/2016,6E,3800 WHITE AVE,LARCENY,,NORTHEASTERN,Glenham-Belhar
7/3/2016,6E,1500 WHITELOCK ST,LARCENY,,WESTERN,Penn North
7/3/2016,6G,900 W LEXINGTON ST,LARCENY,,WESTERN,Poppleton
7/2/2016,6G,1100 SAINT PAUL ST,LARCENY,,CENTRAL,Mid-Town Belvedere
7/2/2016,6E,4800 LOCH RAVEN BLVD,LARCENY,,NORTHEASTERN,Stonewood-Pentwood-Winsto
7/2/2016,6J,200 N MILTON AVE,LARCENY,,SOUTHEASTERN,Patterson Place
7/2/2016,6E,300 S AUGUSTA AVE,LARCENY,,SOUTHWESTERN,Irvington
7/2/2016,6J,100 W WEST ST,LARCENY,,SOUTHERN,Sharp-Leadenhall
7/2/2016,6J,100 W WEST ST,LARCENY,,SOUTHERN,Sharp-Leadenhall
7/2/2016,6H,200 N GAY ST,LARCENY,,EASTERN,Jonestown
7/2/2016,6C,3500 BOSTON ST,LARCENY,,SOUTHEASTERN,Canton Industrial Area
7/2/2016,6J,2500 BOYD ST,LARCENY,,SOUTHWESTERN,Shipley Hill
7/2/2016,6G,2100 WINDSOR GARDENS LN,LARCENY,,SOUTHWESTERN,Wakefield
7/2/2016,6E,4200 ROLAND VIEW AVE,LARCENY,,NORTHERN,Greenspring
7/2/2016,6F,5500 HOLABIRD AVE,LARCENY,,SOUTHEASTERN,Canton Industrial Area
7/2/2016,6F,4200 MARIBAN CT,LARCENY,,SOUTHERN,Brooklyn
7/2/2016,6C,100 N WOLFE ST,LARCENY,,SOUTHEASTERN,Washington Hill
7/2/2016,6E,3800 JUNIPER RD,LARCENY,,NORTHERN,Guilford
7/2/2016,6C,4200 WABASH AVE,LARCENY,,NORTHWESTERN,Ashburton
7/2/2016,6G,3900 PENHURST AVE,LARCENY,,NORTHWESTERN,Dolfield
7/2/2016,6G,6500 FRANKFORD AVE,LARCENY,,NORTHEASTERN,Pulaski Industrial Area
7/2/2016,6E,2000 KENNEDY AVE,LARCENY,,EASTERN,East Baltimore Midway
7/2/2016,6C,6300 EASTERN AVE,LARCENY,,SOUTHEASTERN,Pulaski Industrial Area
7/2/2016,6J,1200 W MOUNT ROYAL AVE,LARCENY,,CENTRAL,Mid-Town Belvedere
7/1/2016,6E,2200 WINDSOR AVE,LARCENY,,WESTERN,Mondawmin
7/1/2016,6G,1400 KEY HWY,LARCENY,,SOUTHERN,Riverside
7/1/2016,6E,2300 PENTLAND DR,LARCENY,,NORTHEASTERN,Hamilton Hills
7/1/2016,6G,500 S CHAPELGATE LN,LARCENY,,SOUTHWESTERN,Beechfield
7/1/2016,6E,4500 FAIRVIEW AVE,LARCENY,,NORTHWESTERN,West Forest Park
7/1/2016,6E,1500 N SPRING ST,LARCENY,,EASTERN,Oliver
7/1/2016,6C,3300 GREENMOUNT AVE,LARCENY,,NORTHERN,Oakenshawe
7/1/2016,6J,1300 W NORTH AVE,LARCENY,,WESTERN,Penn North
7/1/2016,6E,2700 WALBROOK AVE,LARCENY,,SOUTHWESTERN,Walbrook
7/1/2016,6G,5700 WABASH AVE,LARCENY,,NORTHWESTERN,Seton Business Park
7/1/2016,6E,2200 PINEWOOD AVE,LARCENY,,NORTHEASTERN,Hamilton Hills
7/1/2016,6C,4700 O''DONNELL ST,LARCENY,,SOUTHEASTERN,Canton Industrial Area
7/1/2016,6G,0 W NORTH AVE,LARCENY,,CENTRAL,Charles North
7/1/2016,6B,1300 PENNSYLVANIA AVE,LARCENY,,CENTRAL,Upton
7/1/2016,6F,6100 GREENSPRING AVE,LARCENY,,NORTHWESTERN,Cheswolde
7/1/2016,6G,400 E FAYETTE ST,LARCENY,,CENTRAL,Downtown
7/1/2016,6E,5100 ANTHONY AVE,LARCENY,,NORTHEASTERN,Frankford
7/1/2016,6J,2700 CHESLEY AVE,LARCENY,,NORTHEASTERN,North Harford Road
7/1/2016,6C,3500 BOSTON ST,LARCENY,,SOUTHEASTERN,Canton Industrial Area
7/1/2016,6E,5200 LINDEN HEIGHTS AVE,LARCENY,,NORTHWESTERN,Woodmere
7/1/2016,6G,1200 LIGHT ST,LARCENY,,SOUTHERN,Federal Hill
7/1/2016,6E,0 W 24TH ST,LARCENY,,NORTHERN,Old Goucher
7/1/2016,6E,6200 ELLIOTT ST,LARCENY,,SOUTHEASTERN,O'Donnell Heights
7/1/2016,6G,2300 BRYANT AVE,LARCENY,,WESTERN,Parkview/Woodbrook
7/1/2016,6J,600 FALLSWAY,LARCENY,,EASTERN,Penn-Fallsway
7/1/2016,6C,600 S EXETER ST,LARCENY,,SOUTHEASTERN,Inner Harbor
7/1/2016,6G,600 S NEWKIRK ST,LARCENY,,SOUTHEASTERN,Greektown
7/1/2016,6E,1000 ROCKHILL AVE,LARCENY,,SOUTHWESTERN,Violetville
7/1/2016,6G,3600 ROLAND AVE,LARCENY,,NORTHERN,Hampden
7/1/2016,6G,3500 PULASKI HWY,LARCENY,,SOUTHEASTERN,Ellwood Park/Monument
7/1/2016,6C,4400 HARFORD RD,LARCENY,,NORTHEASTERN,Beverly Hills
7/1/2016,6E,4600 LANIER AVE,LARCENY,,NORTHERN,Cylburn
6/30/2016,6E,1000 BENNETT PL,LARCENY,,WESTERN,Harlem Park
6/30/2016,6E,2700 GARRISON BLVD,LARCENY,,NORTHWESTERN,Garwyn Oaks
6/30/2016,6J,4600 BELVIEU AVE,LARCENY,,NORTHWESTERN,Howard Park
6/30/2016,6E,1400 HOLLINS ST,LARCENY,,SOUTHERN,Union Square
6/30/2016,6E,900 N CAREY ST,LARCENY,,WESTERN,Sandtown-Winchester
6/30/2016,6E,900 N CAREY ST,LARCENY,,WESTERN,Sandtown-Winchester
6/30/2016,6E,2100 BROOKFIELD AVE,LARCENY,,CENTRAL,Reservoir Hill
6/30/2016,6E,2800 E CHASE ST,LARCENY,,EASTERN,Biddle Street
6/30/2016,6G,100 N BELNORD AVE,LARCENY,,SOUTHEASTERN,Patterson Park Neighborho
6/30/2016,6C,100 N WOLFE ST,LARCENY,,SOUTHEASTERN,Washington Hill
6/30/2016,6C,1000 W 41ST ST,LARCENY,,NORTHERN,Hoes Heights
6/30/2016,6B,2700 E FAIRMOUNT AVE,LARCENY,,SOUTHEASTERN,Patterson Park Neighborho
6/30/2016,6F,5000 LEVINDALE RD,LARCENY,,NORTHERN,Levindale
6/30/2016,6C,2500 BELAIR RD,LARCENY,,NORTHEASTERN,Belair-Edison
6/30/2016,6E,700 ASHBURTON ST,LARCENY,,WESTERN,Mosher
6/30/2016,6J,700 MCHENRY ST,LARCENY,,SOUTHERN,Barre Circle
6/30/2016,6C,3800 E LOMBARD ST,LARCENY,,SOUTHEASTERN,Baltimore Highlands
6/30/2016,6G,1500 ABBOTSTON ST,LARCENY,,NORTHEASTERN,Coldstream Homestead Mont
6/30/2016,6C,1000 S CHARLES ST,LARCENY,,SOUTHERN,Federal Hill
6/30/2016,6E,6200 ERDMAN AVE,LARCENY,,SOUTHEASTERN,Pulaski Industrial Area
6/30/2016,6G,400 N EDGEWOOD ST,LARCENY,,SOUTHWESTERN,Lower Edmondson Village
6/30/2016,6E,1500 N PULASKI ST,LARCENY,,WESTERN,Easterwood
6/30/2016,6C,1000 S CHARLES ST,LARCENY,,SOUTHERN,Federal Hill
6/30/2016,6J,300 N EDGEWOOD ST,LARCENY,,SOUTHWESTERN,Allendale
6/30/2016,6C,4500 FALLS RD,LARCENY,,NORTHERN,Roland Park
6/30/2016,6G,1300 S ELLWOOD AVE,LARCENY,,SOUTHEASTERN,Canton
6/29/2016,6G,3300 RAMONA AVE,LARCENY,,NORTHEASTERN,Belair-Edison
6/29/2016,6C,500 S BENTALOU ST,LARCENY,,SOUTHWESTERN,Carrollton Ridge
6/29/2016,6E,2500 W FOREST PARK AVE,LARCENY,,NORTHWESTERN,Burleith-Leighton
6/29/2016,6E,600 E 25TH ST,LARCENY,,NORTHEASTERN,East Baltimore Midway
6/29/2016,6C,3100 PULASKI HWY,LARCENY,,SOUTHEASTERN,Ellwood Park/Monument
6/29/2016,6C,100 N WOLFE ST,LARCENY,,SOUTHEASTERN,Washington Hill
6/29/2016,6B,1900 W BALTIMORE ST,LARCENY,,WESTERN,Boyd-Booth
6/29/2016,6G,1100 FALLSHILL DR,LARCENY,,NORTHERN,Hoes Heights
6/29/2016,6J,2200 PARK AVE,LARCENY,,CENTRAL,Reservoir Hill
6/29/2016,6E,1500 SHEFFIELD RD,LARCENY,,NORTHEASTERN,Hillen
6/29/2016,6G,2500 LIBERTY HTS,LARCENY,,NORTHWESTERN,Liberty Square
6/29/2016,6E,3100 CLIFTMONT AVE,LARCENY,,NORTHEASTERN,Belair-Edison
6/29/2016,6J,1300 CAMBRIA ST,LARCENY,,SOUTHERN,Curtis Bay
6/29/2016,6J,5000 FRANKFORD AVE,LARCENY,,NORTHEASTERN,Frankford
6/29/2016,6C,3800 E LOMBARD ST,LARCENY,,SOUTHEASTERN,Baltimore Highlands
6/29/2016,6G,1800 WASHINGTON BLVD,LARCENY,,SOUTHERN,Carroll Park
6/29/2016,6G,1300 PARK AVE,LARCENY,,CENTRAL,Bolton Hill
6/29/2016,6G,4600 ELSRODE AVE,LARCENY,,NORTHEASTERN,Lauraville
6/29/2016,6E,1700 FREDERICK AVE,LARCENY,,WESTERN,Franklin Square
6/29/2016,6E,600 E 25TH ST,LARCENY,,NORTHEASTERN,East Baltimore Midway
6/29/2016,6J,3200 SOUTHERN AVE,LARCENY,,NORTHEASTERN,Waltherson
6/29/2016,6J,4000 WOODHAVEN AVE,LARCENY,,NORTHWESTERN,Concerned Citizens Of For
6/29/2016,6G,4000 LIBERTY HEIGHTS AVE,LARCENY,,NORTHWESTERN,Central Forest Park
6/29/2016,6E,100 N CLINTON ST,LARCENY,,SOUTHEASTERN,Patterson Park Neighborho
6/29/2016,6J,1200 HARWOOD AVE,LARCENY,,NORTHEASTERN,Woodbourne Heights
6/29/2016,6J,200 S BOULDIN ST,LARCENY,,SOUTHEASTERN,Highlandtown
6/29/2016,6E,3800 KAVON AVE,LARCENY,,NORTHEASTERN,Belair-Edison
6/29/2016,6E,3800 KAVON AVE,LARCENY,,NORTHEASTERN,Belair-Edison
6/29/2016,6F,1000 N BOND ST,LARCENY,,EASTERN,Gay Street
6/28/2016,6C,2400 FREDERICK AVE,LARCENY,,SOUTHWESTERN,Millhill
6/28/2016,6G,3000 FLEET ST,LARCENY,,SOUTHEASTERN,Canton
6/28/2016,6J,2000 SINCLAIR LN,LARCENY,,NORTHEASTERN,Clifton Park
6/28/2016,6E,800 W Fayette St,LARCENY,,WESTERN,Poppleton
6/28/2016,6J,300 N CHARLES ST,LARCENY,,CENTRAL,Downtown
6/28/2016,6J,5400 FAIRLAWN AVE,LARCENY,,NORTHWESTERN,Woodmere
6/28/2016,6G,4900 EASTERN AV,LARCENY,,SOUTHEASTERN,Greektown
6/28/2016,6C,400 W FRANKLIN ST,LARCENY,,CENTRAL,Downtown
6/28/2016,6J,700 E PRATT ST,LARCENY,,CENTRAL,Inner Harbor
6/28/2016,6F,1600 EASTERN AVE,LARCENY,,SOUTHEASTERN,Fells Point
6/28/2016,6F,1300 PONTIAC AVE,LARCENY,,SOUTHERN,Curtis Bay
6/28/2016,6J,3000 NORTHWAY DR,LARCENY,,NORTHEASTERN,North Harford Road
6/28/2016,6G,1300 MCCULLOH ST,LARCENY,,CENTRAL,Madison Park
6/28/2016,6E,3500 WILKENS AVE,LARCENY,,SOUTHWESTERN,Saint Agnes
6/28/2016,6C,3200 TIOGA PKWY,LARCENY,,NORTHWESTERN,Mondawmin
6/28/2016,6C,100 N HOWARD ST,LARCENY,,CENTRAL,Downtown
6/28/2016,6C,1100 PENNSYLVANIA AVE,LARCENY,,CENTRAL,Upton
6/28/2016,6E,4000 DUVALL AVE,LARCENY,,NORTHWESTERN,Windsor Hills
6/28/2016,6F,200 ROBERT ST,LARCENY,,CENTRAL,Bolton Hill
6/28/2016,6J,1700 HARLEM AVE,LARCENY,,WESTERN,Harlem Park
6/28/2016,6C,200 N CHARLES ST,LARCENY,,CENTRAL,Downtown
6/28/2016,6G,600 N WOLFE ST,LARCENY,,EASTERN,Dunbar-Broadway
6/28/2016,6E,2500 W FOREST PARK AVE,LARCENY,,NORTHWESTERN,Burleith-Leighton
6/28/2016,6C,6300 EASTERN AVE,LARCENY,,SOUTHEASTERN,Pulaski Industrial Area
6/28/2016,6C,300 N CHARLES ST,LARCENY,,CENTRAL,Downtown
6/28/2016,6J,3400 W CATON AVE,LARCENY,,SOUTHWESTERN,Saint Josephs
6/28/2016,6C,600 S EXETER ST,LARCENY,,SOUTHEASTERN,Inner Harbor
6/28/2016,6J,4200 PENNINGTON AVE,LARCENY,,SOUTHERN,Curtis Bay
6/28/2016,6G,100 W 25TH ST,LARCENY,,NORTHERN,Charles Village
6/27/2016,6F,2900 E BALTIMORE ST,LARCENY,,SOUTHEASTERN,Patterson Park Neighborho
6/27/2016,6J,5600 SEFTON AVE,LARCENY,,NORTHEASTERN,Glenham-Belhar
6/27/2016,6G,1100 W 36TH ST,LARCENY,,NORTHERN,Hampden
6/27/2016,6J,1300 BROENING HWY,LARCENY,,SOUTHEASTERN,Medford
6/27/2016,6E,6100 ALTA AVE,LARCENY,,NORTHEASTERN,Rosemont East
6/27/2016,6E,2100 BRUNT ST,LARCENY,,CENTRAL,Druid Heights
6/27/2016,6E,3300 E FAIRMOUNT AVE,LARCENY,,SOUTHEASTERN,Patterson Park Neighborho
6/27/2016,6C,3800 EASTERN AVE,LARCENY,,SOUTHEASTERN,Brewers Hill
6/27/2016,6C,400 E PRATT ST,LARCENY,,CENTRAL,Inner Harbor
6/27/2016,6E,5100 PENNINGTON AVE,LARCENY,,SOUTHERN,Curtis Bay
6/27/2016,6E,4100 W BELVEDERE AVE,LARCENY,,NORTHWESTERN,Woodmere
6/27/2016,6C,200 W CHASE ST,LARCENY,,CENTRAL,Mid-Town Belvedere
6/27/2016,6G,700 E PRATT ST,LARCENY,,CENTRAL,Inner Harbor
6/27/2016,6C,6300 EASTERN AVE,LARCENY,,SOUTHEASTERN,Pulaski Industrial Area
6/27/2016,6G,3200 PRESSTMAN ST,LARCENY,,SOUTHWESTERN,Rosemont
6/27/2016,6B,500 E BELVEDERE AVE,LARCENY,,NORTHERN,Belvedere
6/27/2016,6J,3400 ANNAPOLIS RD,LARCENY,,SOUTHERN,Cherry Hill
6/27/2016,6C,3100 MCELDERRY ST,LARCENY,,SOUTHEASTERN,Ellwood Park/Monument
6/27/2016,6E,200 E NORTH AVE,LARCENY,,EASTERN,Barclay
6/27/2016,6J,2400 W LEXINGTON ST,LARCENY,,WESTERN,Penrose/Fayette Street Ou
6/27/2016,6J,200 E PRATT ST,LARCENY,,CENTRAL,Inner Harbor
6/27/2016,6G,3700 O''DONNELL ST,LARCENY,,SOUTHEASTERN,Canton Industrial Area
6/27/2016,6G,600 N WOLFE ST,LARCENY,,EASTERN,Dunbar-Broadway
6/27/2016,6E,400 SEAGULL AVE,LARCENY,,SOUTHERN,Cherry Hill
6/27/2016,6G,1100 N WOODINGTON RD,LARCENY,,SOUTHWESTERN,Edmondson Village
6/26/2016,6C,6300 EASTERN AVE,LARCENY,,SOUTHEASTERN,Pulaski Industrial Area
6/26/2016,6J,1100 N CALVERT ST,LARCENY,,CENTRAL,Mid-Town Belvedere
6/26/2016,6E,2400 W LEXINGTON ST,LARCENY,,WESTERN,Penrose/Fayette Street Ou
6/26/2016,6C,2400 FREDERICK AVE,LARCENY,,SOUTHWESTERN,Millhill
6/26/2016,6E,1600 DARLEY AVE,LARCENY,,EASTERN,Darley Park
6/26/2016,6E,400 E 25TH ST,LARCENY,,NORTHERN,Barclay
6/26/2016,6E,2500 EUTAW PL,LARCENY,,CENTRAL,Reservoir Hill
6/26/2016,6E,3000 CHELSEA TER,LARCENY,,NORTHWESTERN,Concerned Citizens Of For
6/26/2016,6C,900 N CAROLINE ST,LARCENY,,EASTERN,Gay Street
6/26/2016,6C,600 S EXETER ST,LARCENY,,SOUTHEASTERN,Inner Harbor
6/26/2016,6B,0 N HOWARD ST,LARCENY,,CENTRAL,Mid-Town Belvedere
6/26/2016,6G,200 E UNIVERSITY PKWY,LARCENY,,NORTHERN,Charles Village
6/26/2016,6E,3700 BROOKLYN AVE,LARCENY,,SOUTHERN,Brooklyn
6/26/2016,6J,300 W PRESTON ST,LARCENY,,CENTRAL,Madison Park
6/26/2016,6L,100 E LOMBARD ST,LARCENY,,CENTRAL,Downtown
6/26/2016,6J,100 S CLINTON ST,LARCENY,,SOUTHEASTERN,Patterson Park Neighborho
6/26/2016,6C,600 E 33RD ST,LARCENY,,NORTHERN,Better Waverly
6/26/2016,6F,800 PRIMSON AVE,LARCENY,,SOUTHWESTERN,Saint Agnes
6/26/2016,6G,4500 BAYONNE AVE,LARCENY,,NORTHEASTERN,Frankford
6/26/2016,6J,1600 JOPLIN ST,LARCENY,,SOUTHEASTERN,Broening Manor
6/26/2016,6E,400 E LORRAINE AVE,LARCENY,,NORTHERN,Harwood
6/26/2016,6G,2500 W FAIRMOUNT AVE,LARCENY,,SOUTHWESTERN,Shipley Hill
6/26/2016,6C,4600 HARFORD RD,LARCENY,,NORTHEASTERN,Lauraville
6/26/2016,6J,2000 W NORTH AVE,LARCENY,,WESTERN,Mondawmin
6/26/2016,6F,,LARCENY,,EASTERN,
6/26/2016,6C,2400 N CHARLES ST,LARCENY,,NORTHERN,Old Goucher
6/26/2016,6G,2400 BOSTON ST,LARCENY,,SOUTHEASTERN,Canton
6/26/2016,6G,800 N HAVEN ST,LARCENY,,SOUTHEASTERN,Brewers Hill
6/26/2016,6J,2400 GUILFORD AVE,LARCENY,,NORTHERN,Barclay
6/26/2016,6C,6300 EASTERN AVE,LARCENY,,SOUTHEASTERN,Pulaski Industrial Area
6/26/2016,6J,2500 LIBERTY HEIGHTS AVE,LARCENY,,NORTHWESTERN,Liberty Square
6/26/2016,6G,1500 RUSSELL ST,LARCENY,,SOUTHERN,Carroll - Camden Industri
6/26/2016,6G,200 S DUNCAN ST,LARCENY,,SOUTHEASTERN,Upper Fells Point
6/26/2016,6G,400 N EUTAW ST,LARCENY,,CENTRAL,Downtown
6/26/2016,6J,0 W MADISON ST,LARCENY,,CENTRAL,Mount Vernon
6/25/2016,6C,3300 E FAYETTE ST,LARCENY,,SOUTHEASTERN,Patterson Park Neighborho
6/25/2016,6C,3700 FLEET ST,LARCENY,,SOUTHEASTERN,Brewers Hill
6/25/2016,6C,1500 62ND ST,LARCENY,,NORTHEASTERN,Pulaski Industrial Area
6/25/2016,6G,1200 W NORTH AVE,LARCENY,,WESTERN,Druid Heights
6/25/2016,6E,3000 W NORTH AVE,LARCENY,,SOUTHWESTERN,Northwest Community Actio
6/25/2016,6E,3000 W NORTH AVE,LARCENY,,SOUTHWESTERN,Northwest Community Actio
6/25/2016,6E,900 CHESTNUT HILL AVE,LARCENY,,NORTHEASTERN,Ednor Gardens-Lakeside
6/25/2016,6J,2100 W NORTH AVE,LARCENY,,WESTERN,Mondawmin
6/25/2016,6E,3100 GOUGH ST,LARCENY,,SOUTHEASTERN,Highlandtown
6/25/2016,6E,1100 S CHARLES ST,LARCENY,,SOUTHERN,Federal Hill
6/25/2016,6C,100 S BROADWAY,LARCENY,,SOUTHEASTERN,Washington Hill
6/25/2016,6C,400 E PRATT ST,LARCENY,,CENTRAL,Inner Harbor
6/25/2016,6J,3200 EVERGREEN AVE,LARCENY,,NORTHEASTERN,Glenham-Belhar
6/25/2016,6G,2100 N CHARLES ST,LARCENY,,NORTHERN,Charles North
6/25/2016,6C,900 N WASHINGTON ST,LARCENY,,EASTERN,Middle East
6/25/2016,6E,1900 ASHBURTON ST,LARCENY,,SOUTHWESTERN,Walbrook
6/25/2016,6F,2500 FLEET ST,LARCENY,,SOUTHEASTERN,Canton
6/25/2016,6C,100 N WOLFE ST,LARCENY,,SOUTHEASTERN,Washington Hill
6/25/2016,6E,4200 ROLAND VIEW AVE,LARCENY,,NORTHERN,Greenspring
6/25/2016,6C,600 CHERRY HILL RD,LARCENY,,SOUTHERN,Cherry Hill
6/25/2016,6B,2000 MARYLAND AVE,LARCENY,,NORTHERN,Charles North
6/25/2016,6G,900 E PRATT ST,LARCENY,,SOUTHEASTERN,Little Italy
6/25/2016,6G,900 E PRATT ST,LARCENY,,SOUTHEASTERN,Little Italy
6/25/2016,6J,1700 ELRINO ST,LARCENY,,SOUTHEASTERN,Broening Manor
6/25/2016,6C,100 N WOLFE ST,LARCENY,,SOUTHEASTERN,Washington Hill
6/25/2016,6C,5200 YORK RD,LARCENY,,NORTHERN,York-Homeland
6/25/2016,6J,0 N EUTAW ST,LARCENY,,CENTRAL,Downtown
6/25/2016,6C,2400 N CHARLES ST,LARCENY,,NORTHERN,Old Goucher
6/25/2016,6J,2800 PINEWOOD AVE,LARCENY,,NORTHEASTERN,Westfield
6/25/2016,6J,3600 PARKVIEW AVE,LARCENY,,NORTHWESTERN,Grove Park
6/25/2016,6E,2900 STRANDEN RD,LARCENY,,SOUTHERN,Lakeland
6/25/2016,6J,1400 WOODALL ST,LARCENY,,SOUTHERN,Riverside
6/25/2016,6G,3200 AVON AVE,LARCENY,,NORTHERN,Better Waverly
6/24/2016,6B,1000 N CHARLES ST,LARCENY,,CENTRAL,Mid-Town Belvedere
6/24/2016,6E,2500 EDGECOMBE CIR N,LARCENY,,NORTHERN,Parklane
6/24/2016,6G,3900 CHESTERFIELD AVE,LARCENY,,NORTHEASTERN,Belair-Edison
6/24/2016,6G,5900 YORK RD,LARCENY,,NORTHERN,Chinquapin Park
6/24/2016,6J,PACA ST & W BALTIMORE ST,LARCENY,,CENTRAL,Downtown
6/24/2016,6E,1600 W LAFAYETTE AVE,LARCENY,,WESTERN,Harlem Park
6/24/2016,6J,3500 COPLEY RD,LARCENY,,NORTHWESTERN,Ashburton
6/24/2016,6B,5400 PARK HEIGHTS AVE,LARCENY,,NORTHWESTERN,Pimlico Good Neighbors
6/24/2016,6B,100 LIGHT ST,LARCENY,,CENTRAL,Downtown West
6/24/2016,6C,0 LIGHT ST,LARCENY,,CENTRAL,Downtown
6/24/2016,6G,3000 E BIDDLE ST,LARCENY,,EASTERN,Biddle Street
6/24/2016,6A,5900 BELLE VISTA AVE,LARCENY,,NORTHEASTERN,Glenham-Belhar
6/24/2016,6G,1600 N WOLFE ST,LARCENY,,EASTERN,Broadway East
6/24/2016,6C,2400 FREDERICK AVE,LARCENY,,SOUTHWESTERN,Millhill
6/24/2016,6C,4600 LIBERTY HEIGHTS AVE,LARCENY,,NORTHWESTERN,Howard Park
6/24/2016,6G,0 N CHARLES ST,LARCENY,,CENTRAL,Downtown
6/24/2016,6C,3700 BOSTON ST,LARCENY,,SOUTHEASTERN,Canton Industrial Area
6/24/2016,6C,2500 BELAIR RD,LARCENY,,NORTHEASTERN,Belair-Edison
6/24/2016,6E,300 N HIGH ST,LARCENY,,SOUTHEASTERN,Jonestown
6/24/2016,6J,200 S CONKLING ST,LARCENY,,SOUTHEASTERN,Highlandtown
6/24/2016,6C,100 W LEXINGTON ST,LARCENY,,CENTRAL,Downtown
6/23/2016,6J,600 MONTPELIER ST,LARCENY,,NORTHERN,Better Waverly
6/23/2016,6E,4400 MANORVIEW RD,LARCENY,,SOUTHWESTERN,Uplands
6/23/2016,6G,1400 E LAFAYETTE AVE,LARCENY,,EASTERN,Oliver
6/23/2016,6E,3400 SPELMAN RD,LARCENY,,SOUTHERN,Cherry Hill
6/23/2016,6F,700 E FORT AVE,LARCENY,,SOUTHERN,Riverside
6/23/2016,6F,3400 HILLDALE PL,LARCENY,,NORTHWESTERN,Park Circle
6/23/2016,6J,2000 GWYNNS FALLS PKWY,LARCENY,,WESTERN,Mondawmin
