CrimeDate,CrimeCode,Location,Description,Weapon,District,Neighborhood
9/27/2017,6G,200 SAINT PAUL ST,LARCENY,,CENTRAL,Downtown
9/27/2017,6C,1000 S CHARLES ST,LARCENY,,SOUTHERN,Federal Hill
9/27/2017,6E,3700 FORDS LN,LARCENY,,NORTHWESTERN,Glen
9/27/2017,6G,5000 WETHEREDSVILLE RD,LARCENY,,SOUTHWESTERN,West Forest Park
9/27/2017,6F,3800 CLAREMONT ST,LARCENY,,SOUTHEASTERN,Highlandtown
9/27/2017,6C,4000 EASTERN AVE,LARCENY,,SOUTHEASTERN,Highlandtown
9/27/2017,6C,100 S BROADWAY,LARCENY,,SOUTHEASTERN,Washington Hill
9/27/2017,6J,500 S BOND ST,LARCENY,,SOUTHEASTERN,Fells Point
9/27/2017,6E,6600 REISTERSTOWN RD,LARCENY,,NORTHWESTERN,Reisterstown Station
9/27/2017,6J,1400 WARD ST,LARCENY,,SOUTHERN,Washington Village/Pigtow
9/27/2017,6E,1300 PARKMAN AVE,LARCENY,,SOUTHWESTERN,Morrell Park
9/27/2017,6J,900 W 36TH ST,LARCENY,,NORTHERN,Hampden
9/27/2017,6G,300 S CHARLES ST,LARCENY,,CENTRAL,Downtown West
9/27/2017,6E,4500 Bowleys Ln,LARCENY,,NORTHEASTERN,Parkside
9/27/2017,6E,1700 N BROADWAY,LARCENY,,EASTERN,Broadway East
9/27/2017,6E,5400 GARDENWOOD RD,LARCENY,,NORTHEASTERN,Frankford
9/27/2017,6C,1500 RUSSELL ST,LARCENY,,SOUTHERN,Carroll - Camden Industri
9/27/2017,6C,3700 FLEET ST,LARCENY,,SOUTHEASTERN,Brewers Hill
9/26/2017,6G,400 MANSE CT,LARCENY,,CENTRAL,Upton
9/26/2017,6J,3900 PARK HEIGHTS AVE,LARCENY,,NORTHWESTERN,Greenspring
9/26/2017,6J,2800 ECHODALE AVE,LARCENY,,NORTHEASTERN,Hamilton Hills
9/26/2017,6E,300 N GILMOR ST,LARCENY,,WESTERN,Franklin Square
9/26/2017,6E,1800 MARYLAND AVE,LARCENY,,CENTRAL,Charles North
9/26/2017,6E,2500 E EAGER ST,LARCENY,,EASTERN,Milton-Montford
9/26/2017,6F,800 WEDGEWOOD RD,LARCENY,,SOUTHWESTERN,West Hills
9/26/2017,6C,2700 WASHINGTON BLVD,LARCENY,,SOUTHWESTERN,Morrell Park
9/26/2017,6J,0 S CAREY ST,LARCENY,,SOUTHERN,Hollins Market
9/26/2017,6J,800 W SARATOGA ST,LARCENY,,WESTERN,Poppleton
9/26/2017,6G,600 E PRATT ST,LARCENY,,CENTRAL,Inner Harbor
9/26/2017,6E,2100 N CHARLES ST,LARCENY,,NORTHERN,Charles North
9/26/2017,6G,4700 N CHARLES ST,LARCENY,,NORTHERN,Loyola/Notre Dame
9/26/2017,6E,1700 JOHNSON ST,LARCENY,,SOUTHERN,Riverside
9/26/2017,6J,2800 CHESTERFIELD AVE,LARCENY,,NORTHEASTERN,Belair-Edison
9/26/2017,6L,200 E PRATT ST,LARCENY,,CENTRAL,Inner Harbor
