7/24/2017,2A,2300 KIRK AVE,RAPE,OTHER,EASTERN,East Baltimore Midway
7/24/2017,2A,3700 OVERVIEW RD,RAPE,OTHER,NORTHWESTERN,Park Circle
7/22/2017,2A,100 S LINWOOD AVE,RAPE,OTHER,SOUTHEASTERN,Patterson Park
7/21/2017,2A,2800 N DUKELAND ST,RAPE,OTHER,NORTHWESTERN,Hanlon-Longwood
7/20/2017,2A,1900 ARGONNE DR,RAPE,OTHER,NORTHEASTERN,Morgan State University
7/20/2017,2A,1000 N MOUNT ST,RAPE,OTHER,WESTERN,Sandtown-Winchester
7/19/2017,2A,4400 REISTERSTOWN RD,RAPE,OTHER,NORTHWESTERN,Towanda-Grantley
7/19/2017,2B,3700 EASTERN AVE,RAPE,,SOUTHEASTERN,Highlandtown
7/18/2017,2A,3600 OLD FREDERICK RD,RAPE,OTHER,SOUTHWESTERN,Uplands
7/14/2017,2B,2500 WILKENS AVE,RAPE,,SOUTHWESTERN,Millhill
7/13/2017,2A,4100 W ROGERS AVE,RAPE,OTHER,NORTHWESTERN,Woodmere
7/13/2017,2A,3000 W BELVEDERE AVE,RAPE,OTHER,NORTHWESTERN,Central Park Heights
7/13/2017,2A,2400 FREDERICK AVE,RAPE,OTHER,SOUTHWESTERN,Shipley Hill
7/12/2017,2A,1300 WOODBOURNE AVE,RAPE,OTHER,NORTHEASTERN,New Northwood
7/12/2017,2A,100 THOMAS GUIDERA CIR,RAPE,OTHER,SOUTHWESTERN,Allendale
7/11/2017,2A,4400 ASBURY AVE,RAPE,OTHER,NORTHEASTERN,Belair-Edison
7/11/2017,2A,3000 ELIZABETH AVE,RAPE,OTHER,SOUTHERN,Lakeland
7/11/2017,2A,1200 SLATER RD,RAPE,OTHER,SOUTHERN,Cherry Hill
7/8/2017,2A,700 E 21ST ST,RAPE,OTHER,EASTERN,East Baltimore Midway
7/8/2017,2A,2000 W BALTIMORE ST,RAPE,OTHER,WESTERN,Penrose/Fayette Street Ou
7/7/2017,2A,800 E 33RD ST,RAPE,OTHER,NORTHERN,Better Waverly
7/5/2017,2A,3700 FERNDALE AVE,RAPE,OTHER,NORTHWESTERN,Howard Park
7/5/2017,2A,100 W DICKMAN ST,RAPE,OTHER,SOUTHERN,Spring Garden Industrial
7/4/2017,2A,200 E LAFAYETTE AVE,RAPE,OTHER,EASTERN,Greenmount West
7/3/2017,2A,3000 HARFORD RD,RAPE,OTHER,NORTHEASTERN,Coldstream Homestead Mont
7/3/2017,2A,4100 EIERMAN AVE,RAPE,OTHER,NORTHEASTERN,Arcadia
7/3/2017,2A,2200 EUTAW PL,RAPE,OTHER,CENTRAL,Reservoir Hill
7/2/2017,2A,600 E FAYETTE ST,RAPE,OTHER,CENTRAL,Downtown
7/2/2017,2A,4300 FOREST VIEW,RAPE,OTHER,NORTHEASTERN,Cedmont
6/30/2017,2A,2100 N CHARLES ST,RAPE,OTHER,NORTHERN,Charles North
6/30/2017,2A,700 N KENWOOD,RAPE,OTHER,EASTERN,Madison-Eastend
6/30/2017,2A,1000 RIVERSIDE AVE,RAPE,OTHER,SOUTHERN,Federal Hill
6/29/2017,2A,3200 LAWNVIEW AVE,RAPE,OTHER,NORTHEASTERN,Belair-Edison
6/29/2017,2A,1700 RUSSELL ST,RAPE,OTHER,SOUTHERN,Carroll - Camden Industri
6/26/2017,2A,2200 KERNAN DR,RAPE,OTHER,SOUTHWESTERN,Dickeyville
6/26/2017,2A,6000 AMBERWOOD RD,RAPE,OTHER,NORTHEASTERN,Frankford
6/25/2017,2A,1900 PAYSON ST,RAPE,OTHER,WESTERN,Mondawmin
6/23/2017,2A,4700 SAYER AVE,RAPE,OTHER,SOUTHWESTERN,Tremont
6/23/2017,2A,4900 EASTERN AV,RAPE,OTHER,SOUTHEASTERN,Greektown
6/22/2017,2A,500 S EATON ST,RAPE,OTHER,SOUTHEASTERN,Brewers Hill
6/20/2017,2A,1600 N CHAPEL ST,RAPE,OTHER,EASTERN,Broadway East
6/16/2017,2A,700 PARK AVE,RAPE,OTHER,CENTRAL,Mount Vernon
6/13/2017,2A,300 E 28TH ST,RAPE,OTHER,NORTHERN,Harwood
6/12/2017,2A,1800 N CHARLES ST,RAPE,OTHER,CENTRAL,Charles North
