CrimeDate,CrimeCode,Location,Description,Weapon,District,Neighborhood
5/14/2015,1F,1900 E 31ST ST,HOMICIDE,FIREARM,NORTHEASTERN,Coldstream Homestead Mont
5/14/2015,1F,1900 E 31ST ST,HOMICIDE,FIREARM,NORTHEASTERN,Coldstream Homestead Mont
5/14/2015,1O,1100 MONTPELIER ST,HOMICIDE,OTHER,NORTHERN,Better Waverly
5/14/2015,1F,2100 EDMONDSON AV,HOMICIDE,FIREARM,WESTERN,Midtown-Edmondson
5/11/2015,1F,3400 CLIFTON AV,HOMICIDE,FIREARM,SOUTHWESTERN,Mount Holly
5/10/2015,1F,5400 FAIRLAWN AV,HOMICIDE,FIREARM,NORTHWESTERN,Woodmere
5/10/2015,1F,1300 N CAREY ST,HOMICIDE,FIREARM,WESTERN,Sandtown-Winchester
5/10/2015,1F,5400 CRISMER AV,HOMICIDE,FIREARM,NORTHWESTERN,Woodmere
5/10/2015,1F,4100 ROCKFIELD AV,HOMICIDE,FIREARM,NORTHWESTERN,Woodmere
5/7/2015,1F,500 N EAST AV,HOMICIDE,FIREARM,SOUTHEASTERN,Ellwood Park/Monument
5/7/2015,1F,100 W PATAPSCO AV,HOMICIDE,FIREARM,SOUTHERN,Brooklyn
5/6/2015,1F,2500 DRUID HILL AV,HOMICIDE,FIREARM,WESTERN,Penn North
5/4/2015,1F,1800 DRUID HILL AV,HOMICIDE,FIREARM,CENTRAL,Druid Heights
5/4/2015,1K,400 FALLSWAY,HOMICIDE,KNIFE,CENTRAL,Penn-Fallsway
5/3/2015,1F,3000 ELIZABETH AV,HOMICIDE,FIREARM,SOUTHERN,Lakeland
5/2/2015,1F,2800 SILVER HILL AV,HOMICIDE,FIREARM,NORTHWESTERN,Howard Park
5/1/2015,1F,300 S HIGHLAND AV,HOMICIDE,FIREARM,SOUTHEASTERN,Highlandtown
4/30/2015,1F,800 MC KEAN AV,HOMICIDE,FIREARM,WESTERN,Harlem Park
4/30/2015,1O,1700 PRESBURY ST,HOMICIDE,OTHER,WESTERN,Sandtown-Winchester
4/29/2015,1F,500 EDGEWOOD ST,HOMICIDE,FIREARM,SOUTHWESTERN,Allendale
4/29/2015,1F,1600 HAZEL ST,HOMICIDE,FIREARM,SOUTHERN,Curtis Bay
4/29/2015,1F,3800 Liberty Heights Av,HOMICIDE,FIREARM,NORTHWESTERN,Callaway-Garrison
4/28/2015,1F,5100 PARK HEIGHTS AV,HOMICIDE,FIREARM,NORTHWESTERN,Central Park Heights
4/26/2015,1O,400 FURROW ST,HOMICIDE,OTHER,SOUTHWESTERN,Carrollton Ridge
4/26/2015,1F,4500 WESTCHESTER RD,HOMICIDE,FIREARM,NORTHWESTERN,Windsor Hills
4/25/2015,1F,4300 BELAIR RD,HOMICIDE,FIREARM,NORTHEASTERN,Belair-Parkside
4/24/2015,1F,4100 W ROGERS AV,HOMICIDE,FIREARM,NORTHWESTERN,Woodmere
4/23/2015,1F,3600 BOSTON ST,HOMICIDE,FIREARM,SOUTHEASTERN,Canton Industrial Area
4/21/2015,1F,1500 N HILTON ST,HOMICIDE,FIREARM,SOUTHWESTERN,Rosemont
4/21/2015,1O,1800 ANNAPOLIS RD,HOMICIDE,OTHER,SOUTHERN,Carroll - Camden Industri
4/17/2015,1F,2800 W GARRISON AV,HOMICIDE,FIREARM,NORTHERN,Cylburn
4/17/2015,1F,2800 W GARRISON AV,HOMICIDE,FIREARM,NORTHERN,Cylburn
4/17/2015,1F,3400 LIBERTY HEIGHTS AV,HOMICIDE,FIREARM,NORTHWESTERN,Ashburton
4/13/2015,1F,3900 FLOWERTON RD,HOMICIDE,FIREARM,SOUTHWESTERN,Edmondson Village
4/10/2015,1K,1100 CARROLL ST,HOMICIDE,KNIFE,SOUTHERN,Washington Village/Pigtow
