callDateTime,priority,district,description,callNumber,incidentLocation
01/16/2016 02:43:00 PM,Medium,NE,FAMILY DISTURB,P160161708,5700 BEECHDALE AV
01/16/2016 03:26:00 PM,Medium,SE,FAMILY DISTURB,P160161829,1100 COMET ST
01/16/2016 03:20:00 PM,Medium,SD,FAMILY DISTURB,P160161816,2400 MAISEL CT
01/16/2016 03:51:00 PM,Medium,ND,FAMILY DISTURB,P160161888,5200 MIDWOOD AV
01/16/2016 10:52:00 PM,Medium,SW,FAMILY DISTURB,P160162968,1100 N WOODINGTON RD
01/16/2016 04:11:00 PM,Medium,SE,FAMILY DISTURB,P160161937,100 N CENTRAL AV
01/16/2016 05:39:00 PM,Medium,NE,FAMILY DISTURB,P160162173,4300 LOCH RAVEN BL
01/16/2016 06:26:00 PM,Medium,SD,FAMILY DISTURB,P160162299,3600 S HANOVER ST
01/16/2016 06:37:00 PM,Medium,NE,FAMILY DISTURB,P160162328,1200 ROSSITER AV
01/16/2016 06:38:00 PM,Medium,NE,FAMILY DISTURB,P160162324,1200 ROSSITER AV
01/16/2016 07:10:00 PM,Medium,WD,FAMILY DISTURB,P160162412,2100 BRIGHTON ST
01/16/2016 07:07:00 PM,Medium,NE,FAMILY DISTURB,P160162406,5600 FORCE RD
01/16/2016 07:19:00 PM,Medium,NE,FAMILY DISTURB,P160162435,1200 ROSSITER AV
01/16/2016 07:51:00 PM,Medium,ED,FAMILY DISTURB,P160162522,1000 HILLMAN ST
01/16/2016 07:55:00 PM,Medium,SW,FAMILY DISTURB,P160162534,200 FURROW ST
01/16/2016 08:13:00 PM,Medium,ND,FAMILY DISTURB,P160162581,500 SHERIDAN AV
01/16/2016 08:20:00 PM,Medium,ND,FAMILY DISTURB,P160162599,3100 ELLERSLIE AV
01/16/2016 08:35:00 PM,Medium,ND,FAMILY DISTURB,P160162634,500 BEAUMONT AV
01/16/2016 09:11:00 PM,Medium,SW,FAMILY DISTURB,P160162721,800 WILDWOOD PY
01/16/2016 10:43:00 PM,Medium,SD,FAMILY DISTURB,P160162937,1500 FILBERT ST
01/16/2016 09:32:00 PM,Medium,CD,FAMILY DISTURB,P160162767,1100 BOLTON ST
01/16/2016 09:33:00 PM,Medium,WD,FAMILY DISTURB,P160162771,2800 CLIFTON AV
01/18/2016 01:23:00 PM,Medium,ND,FAMILY DISTURB,P160181301,2600 OSWEGO AV
01/16/2016 10:12:00 PM,Medium,ED,FAMILY DISTURB,P160162853,700 N GLOVER ST
01/16/2016 10:49:00 PM,Medium,CD,FAMILY DISTURB,P160162956,400 WATTY CT
01/16/2016 10:31:00 PM,Medium,SW,FAMILY DISTURB,P160162916,2800 W NORTH AV
01/16/2016 11:26:00 PM,Medium,NW,FAMILY DISTURB,P160163075,2500 VIOLET AV
01/16/2016 11:57:00 PM,Medium,ED,FAMILY DISTURB,P160163153,700 N MONTFORD AV
01/17/2016 12:11:00 PM,Medium,ND,FAMILY DISTURB,P160171181,4200 HICKORY AV
01/17/2016 12:16:00 PM,Medium,NE,FAMILY DISTURB,P160171192,3900 CORSE AV
01/17/2016 12:12:00 AM,Medium,NW,FAMILY DISTURB,P160170043,3700 DOLFIELD AV
01/17/2016 12:06:00 AM,Medium,SD,FAMILY DISTURB,P160170022,1500 FILBERT ST
01/17/2016 12:07:00 AM,Medium,ED,FAMILY DISTURB,P160170026,700 N MONTFORD AV
01/17/2016 12:40:00 AM,Medium,ED,FAMILY DISTURB,P160170116,1600 RUTLAND AV
01/17/2016 12:36:00 AM,Medium,ED,FAMILY DISTURB,P160170110,700 N MONTFORD AV
01/17/2016 12:31:00 AM,Medium,NE,FAMILY DISTURB,P160170090,3700 MONTEREY RD
01/17/2016 01:09:00 AM,Medium,CD,FAMILY DISTURB,P160170162,200 E PRATT ST
