callDateTime,priority,district,description,callNumber,incidentLocation
02/14/2016 11:50:00 AM,Medium,ND,FAMILY DISTURB,P160450952,2400 LOYOLA NORTHWAY
03/03/2016 09:34:00 PM,Medium,WD,FAMILY DISTURB,P160632974,200 N WOODYEAR ST
03/03/2016 09:40:00 PM,Medium,CD,FAMILY DISTURB,P160632986,1400 MADISON AV
03/03/2016 09:55:00 PM,Medium,WD,FAMILY DISTURB,P160633029,1800 W LAFAYETTE AV
03/03/2016 09:54:00 PM,Medium,NE,FAMILY DISTURB,P160633025,4900 HARFORD RD
03/03/2016 09:59:00 PM,Medium,SW,FAMILY DISTURB,P160633045,700 LINNARD ST
03/03/2016 10:14:00 PM,Medium,SW,FAMILY DISTURB,P160633074,4900 CLIFTON AV
03/03/2016 10:14:00 PM,Medium,NE,FAMILY DISTURB,P160633080,1000 HIGNET WY
03/03/2016 10:46:00 PM,Medium,NE,FAMILY DISTURB,P160633129,5400 BLK BELLE VISTA AV
03/03/2016 10:47:00 PM,Medium,WD,FAMILY DISTURB,P160633139,200 N MOUNT ST
03/03/2016 11:12:00 PM,Medium,NE,FAMILY DISTURB,P160633177,2900 SHIREY AV
03/03/2016 11:16:00 PM,Medium,NE,FAMILY DISTURB,P160633190,1400 E NORTHERN PY
03/03/2016 11:53:00 PM,Medium,SW,FAMILY DISTURB,P160633263,1900 HOLLINS ST
03/03/2016 11:34:00 PM,Medium,SE,FAMILY DISTURB,P160633222,400 ELRINO ST
02/14/2016 12:08:00 PM,Medium,NE,FAMILY DISTURB,P160450995,5400 HILLTOP AV
03/04/2016 12:37:00 AM,Medium,ED,FAMILY DISTURB,P160640060,2700 E FEDERAL ST
03/04/2016 12:01:00 AM,Medium,SD,FAMILY DISTURB,P160640009,900 HERNDON CT
03/04/2016 03:43:00 AM,Medium,NE,FAMILY DISTURB,P160640297,3400 CARDENAS AV
03/04/2016 03:17:00 AM,Medium,NE,FAMILY DISTURB,P160640277,4100 ORCHARD RIDGE BL
03/04/2016 02:13:00 AM,Medium,SE,FAMILY DISTURB,P160640215,200 N MILTON AV
03/04/2016 04:55:00 AM,Medium,SD,FAMILY DISTURB,P160640342,2200 ROUND RD
03/04/2016 06:56:00 AM,Medium,NW,FAMILY DISTURB,P160640424,3400 OAKFIELD AV
03/04/2016 06:38:00 AM,Medium,CD,FAMILY DISTURB,P160640421,100 E MADISON ST
03/04/2016 07:00:00 AM,Medium,ND,FAMILY DISTURB,P160640431,3700 FALLS RD
03/04/2016 07:46:00 AM,Medium,NW,FAMILY DISTURB,P160640492,3600 ELDORADO AV
03/04/2016 07:25:00 AM,Medium,WD,FAMILY DISTURB,P160640456,1700 MOUNTMOR CT
03/04/2016 08:15:00 AM,Medium,NW,FAMILY DISTURB,P160640559,3600 ELDORADO AV
03/04/2016 08:09:00 AM,Medium,WD,FAMILY DISTURB,P160640542,1500 APPLETON ST
03/04/2016 08:21:00 AM,Medium,ND,FAMILY DISTURB,P160640572,400 E NORTHERN PY
03/04/2016 08:55:00 AM,Medium,SD,FAMILY DISTURB,P160640654,2200 ROUND RD
03/04/2016 08:56:00 AM,Medium,SD,FAMILY DISTURB,P160640653,2200 ROUND RD
03/04/2016 10:36:00 AM,Medium,SD,FAMILY DISTURB,P160640918,2200 ROUND RD
03/04/2016 10:50:00 AM,Medium,SD,FAMILY DISTURB,P160640953,2800 SPELMAN RD
03/04/2016 11:06:00 AM,Medium,ND,FAMILY DISTURB,P160640996,3100 INDEPENDENCE ST
03/04/2016 11:02:00 AM,Medium,CD,FAMILY DISTURB,P160640979,2200 CALLOW AV
03/04/2016 11:45:00 AM,Medium,WD,FAMILY DISTURB,P160641114,600 CUMBERLAND ST
03/04/2016 12:48:00 PM,Medium,ED,FAMILY DISTURB,P160641282,900 ABBOTT CT
03/04/2016 01:31:00 PM,Medium,NW,FAMILY DISTURB,P160641400,4000 GARRISON BL
03/04/2016 02:27:00 PM,Medium,SD,FAMILY DISTURB,P160641560,2900 DENHAM CI S
03/04/2016 02:29:00 PM,Medium,SD,FAMILY DISTURB,P160641580,2900 DENHAM CI S
03/04/2016 02:52:00 PM,Medium,SE,FAMILY DISTURB,P160641643,100 S EAST AV
03/04/2016 02:58:00 PM,Medium,WD,FAMILY DISTURB,P160641665,2200 BLK W FAYETTE ST
03/04/2016 03:05:00 PM,Medium,SE,FAMILY DISTURB,P160641687,100 S EAST AV
01/18/2016 06:31:00 PM,Medium,WD,FAMILY DISTURB,P160182178,1000 VINE ST
01/18/2016 06:34:00 PM,Medium,SD,FAMILY DISTURB,P160182181,500 MAUDE AV
03/04/2016 03:08:00 PM,Medium,CD,FAMILY DISTURB,P160641700,2000 DRUID HILL AV
03/04/2016 03:32:00 PM,Medium,CD,FAMILY DISTURB,P160641787,2000 DRUID HILL AV
03/04/2016 03:45:00 PM,Medium,SD,FAMILY DISTURB,P160641827,600 BRIDGEVIEW RD
01/18/2016 07:14:00 PM,Medium,SW,FAMILY DISTURB,P160182271,2000 HARMAN AV
03/04/2016 04:17:00 PM,Medium,SW,FAMILY DISTURB,P160641934,1000 WEDGEWOOD RD
03/04/2016 04:19:00 PM,Medium,WD,FAMILY DISTURB,P160641939,1900 N FULTON AV
03/04/2016 04:11:00 PM,Medium,ND,FAMILY DISTURB,P160641915,1000 LENTON AV
03/04/2016 04:21:00 PM,Medium,SE,FAMILY DISTURB,P160641944,400 N LINWOOD AV
01/18/2016 07:20:00 PM,Medium,WD,FAMILY DISTURB,P160182285,1800 N MONROE ST
03/04/2016 04:42:00 PM,Medium,NE,FAMILY DISTURB,P160642004,2600 KENTUCKY AV
03/04/2016 05:16:00 PM,Medium,SD,FAMILY DISTURB,P160642114,3600 ST MARGARET ST
03/04/2016 05:05:00 PM,Medium,SW,FAMILY DISTURB,P160642064,3500 CLARENELL RD
03/04/2016 05:40:00 PM,Medium,SW,FAMILY DISTURB,P160642188,4600 MAPLE WOOD DR
03/04/2016 06:08:00 PM,Medium,WD,FAMILY DISTURB,P160642273,900 EDMONDSON AV
03/04/2016 06:17:00 PM,Medium,NE,FAMILY DISTURB,P160642316,1400 LIMIT AV
03/04/2016 06:25:00 PM,Medium,SW,FAMILY DISTURB,P160642339,3900 GLEN HUNT RD
03/04/2016 06:35:00 PM,Medium,NW,FAMILY DISTURB,P160642380,5000 CORDELIA AV
03/04/2016 06:54:00 PM,Medium,ED,FAMILY DISTURB,P160642436,2800 E FEDERAL ST
03/05/2016 01:11:00 AM,Medium,ND,FAMILY DISTURB,P160650183,3100 INDEPENDENCE ST
03/04/2016 07:24:00 PM,Medium,SW,FAMILY DISTURB,P160642532,3300 W CATON AV
03/04/2016 07:21:00 PM,Medium,NW,FAMILY DISTURB,P160642517,5500 CADILLAC AV
03/04/2016 08:06:00 PM,Medium,NW,FAMILY DISTURB,P160642668,5300 BEAUFORT AV
03/04/2016 08:36:00 PM,Medium,SW,FAMILY DISTURB,P160642725,800 N WOODINGTON RD
03/04/2016 08:48:00 PM,Medium,NE,FAMILY DISTURB,P160642764,3600 ELMORA AV
03/04/2016 08:40:00 PM,Medium,SW,FAMILY DISTURB,P160642759,1900 N FOREST PARK AV
03/04/2016 09:33:00 PM,Medium,NW,FAMILY DISTURB,P160642891,2800 HILLDALE AV
03/04/2016 09:58:00 PM,Medium,SD,FAMILY DISTURB,P160642961,3600 HORTON AV
03/04/2016 10:07:00 PM,Medium,NE,FAMILY DISTURB,P160642981,1400 WINSTON AV
03/04/2016 10:11:00 PM,Medium,NE,FAMILY DISTURB,P160642995,4100 ST THOMAS AV
03/04/2016 10:12:00 PM,Medium,ND,FAMILY DISTURB,P160642998,2500 QUANTICO AV
03/04/2016 10:18:00 PM,Medium,SW,FAMILY DISTURB,P160643024,2800 W NORTH AV
03/04/2016 10:41:00 PM,Medium,ND,FAMILY DISTURB,P160643088,6200 YORK RD
03/04/2016 11:09:00 PM,Medium,SW,FAMILY DISTURB,P160643175,3000 POPLAR TE
03/04/2016 11:08:00 PM,Medium,ND,FAMILY DISTURB,P160643169,6200 YORK RD
03/05/2016 12:27:00 AM,Medium,SE,FAMILY DISTURB,P160650077,500 N ELLWOOD AV
03/05/2016 12:48:00 AM,Medium,SW,FAMILY DISTURB,P160650129,900 N ROSEDALE ST
03/05/2016 12:28:00 AM,Medium,ED,FAMILY DISTURB,P160650086,1800 E OLIVER ST
03/05/2016 12:53:00 AM,Medium,WD,FAMILY DISTURB,P160650140,900 EDMONDSON AV
03/05/2016 12:50:00 AM,Medium,WD,FAMILY DISTURB,P160650138,900 EDMONDSON AV
03/05/2016 01:27:00 AM,Medium,NW,FAMILY DISTURB,P160650219,3900 DOLFIELD AV
03/05/2016 01:51:00 AM,Medium,NW,FAMILY DISTURB,P160650273,3400 DOLFIELD AV
03/05/2016 02:51:00 AM,Medium,NW,FAMILY DISTURB,P160650417,6900 REISTERSTOWN RD
03/05/2016 02:13:00 AM,Medium,NW,FAMILY DISTURB,P160650327,3400 OAKFIELD AV
03/05/2016 02:37:00 AM,Medium,SD,FAMILY DISTURB,P160650390,800 BRIDGEVIEW RD
03/05/2016 03:03:00 AM,Medium,WD,FAMILY DISTURB,P160650437,2000 BLK BRYANT AV
03/05/2016 02:51:00 AM,Medium,WD,FAMILY DISTURB,P160650416,2300 ARUNAH AV
03/05/2016 02:55:00 AM,Medium,SD,FAMILY DISTURB,P160650420,800 BRIDGEVIEW RD
03/05/2016 02:41:00 AM,Medium,NW,FAMILY DISTURB,P160650406,3400 OAKFIELD AV
03/05/2016 03:36:00 AM,Medium,SE,FAMILY DISTURB,P160650488,100 N POTOMAC ST
03/05/2016 03:13:00 AM,Medium,NE,FAMILY DISTURB,P160650457,5800 CEDONIA AV
03/05/2016 03:07:00 AM,Medium,NE,FAMILY DISTURB,P160650449,4300 ANNTANA AV
03/05/2016 03:35:00 AM,Medium,SE,FAMILY DISTURB,P160650490,1400 MULLIKIN CT
03/05/2016 04:14:00 AM,Medium,NW,FAMILY DISTURB,P160650533,5000 CHALGROVE AV
03/05/2016 04:51:00 AM,Medium,NW,FAMILY DISTURB,P160650569,3200 POWHATAN AV
03/05/2016 06:28:00 AM,Medium,SD,FAMILY DISTURB,P160650663,500 BALTIC AV
03/05/2016 07:10:00 AM,Medium,NE,FAMILY DISTURB,P160650697,1600 HOMESTEAD ST
03/05/2016 08:50:00 AM,Medium,SE,FAMILY DISTURB,P160650819,500 N MONTFORD AV
03/05/2016 08:21:00 AM,Medium,ND,FAMILY DISTURB,P160650783,1000 E BELVEDERE AV
03/05/2016 08:12:00 AM,Medium,WD,FAMILY DISTURB,P160650765,2200 W LAFAYETTE AV
03/05/2016 08:00:00 AM,Medium,CD,FAMILY DISTURB,P160650748,1400 PENNSYLVANIA AV
03/05/2016 08:53:00 AM,Medium,SE,FAMILY DISTURB,P160650827,500 N MONTFORD AV
03/05/2016 10:00:00 AM,Medium,SE,FAMILY DISTURB,P160650960,1200 STEELTON AV
03/05/2016 11:07:00 AM,Medium,NE,FAMILY DISTURB,P160651103,7200 MCCLEAN BL
03/05/2016 11:18:00 AM,Medium,SD,FAMILY DISTURB,P160651130,1100 CHERRY HILL RD
03/05/2016 11:45:00 AM,Medium,SW,FAMILY DISTURB,P160651208,3900 EDMONDSON AV
03/05/2016 11:33:00 AM,Medium,NE,FAMILY DISTURB,P160651176,3400 RAMONA AV
03/05/2016 12:08:00 PM,Medium,NE,FAMILY DISTURB,P160651281,4700 PARKSIDE DR
03/05/2016 12:42:00 PM,Medium,SD,FAMILY DISTURB,P160651361,3000 JANICE AV
03/05/2016 01:32:00 PM,Medium,NE,FAMILY DISTURB,P160651470,6500 FRANKFORD AV
03/05/2016 01:34:00 PM,Medium,NW,FAMILY DISTURB,P160651472,3700 W COLD SPRING LN
03/05/2016 01:36:00 PM,Medium,WD,FAMILY DISTURB,P160651476,1800 MCKEAN AV
03/05/2016 02:03:00 PM,Medium,NE,FAMILY DISTURB,P160651545,3200 E NORTHERN PY
03/05/2016 02:12:00 PM,Medium,SW,FAMILY DISTURB,P160651568,600 WINANS WY
03/05/2016 02:28:00 PM,Medium,SW,FAMILY DISTURB,P160651624,1000 KEVIN RD
03/05/2016 02:30:00 PM,Medium,SE,FAMILY DISTURB,P160651636,1300 BONSAL ST
03/05/2016 03:55:00 PM,Medium,SW,FAMILY DISTURB,P160651823,2600 WILKENS AV
03/05/2016 03:47:00 PM,Medium,NW,FAMILY DISTURB,P160651806,3800 LEWIN AV
03/07/2016 06:14:00 PM,Medium,SD,FAMILY DISTURB,P160672450,3500 ROUND RD
03/07/2016 07:14:00 PM,Medium,ND,FAMILY DISTURB,P160672656,500 E COLD SPRING LN
03/05/2016 04:16:00 PM,Medium,NW,FAMILY DISTURB,P160651872,3800 WOODBINE AV
03/05/2016 04:38:00 PM,Medium,SD,FAMILY DISTURB,P160651940,2800 DENHAM CI N
03/05/2016 04:39:00 PM,Medium,SD,FAMILY DISTURB,P160651935,3200 GULFPORT DR
03/05/2016 05:37:00 PM,Medium,NW,FAMILY DISTURB,P160652095,4500 WENTWORTH RD
03/05/2016 05:39:00 PM,Medium,ED,FAMILY DISTURB,P160652110,1400 E PRESTON ST
03/05/2016 05:26:00 PM,Medium,NW,FAMILY DISTURB,P160652054,4500 BLK WENTWORTH RD
03/05/2016 05:55:00 PM,Medium,NW,FAMILY DISTURB,P160652149,4500 WENTWORTH RD
03/05/2016 06:26:00 PM,Medium,NW,FAMILY DISTURB,P160652227,3700 TOWANDA AV
03/05/2016 07:18:00 PM,Medium,NW,FAMILY DISTURB,P160652377,4200 PENHURST AV
03/05/2016 07:21:00 PM,Medium,ND,FAMILY DISTURB,P160652393,4400 FALLS BRIDGE DR
03/05/2016 07:33:00 PM,Medium,NW,FAMILY DISTURB,P160652412,3500 COTTAGE AV
03/05/2016 08:31:00 PM,Medium,NE,FAMILY DISTURB,P160652578,1800 HILLENWOOD RD
03/05/2016 08:55:00 PM,Medium,SE,FAMILY DISTURB,P160652638,400 S LEHIGH ST
03/05/2016 09:15:00 PM,Medium,NE,FAMILY DISTURB,P160652691,1000 HORNERS LN
03/05/2016 09:18:00 PM,Medium,NE,FAMILY DISTURB,P160652700,2800 PELHAM AV
03/05/2016 09:13:00 PM,Medium,SD,FAMILY DISTURB,P160652687,1500 ELMTREE ST
01/18/2016 07:37:00 PM,Medium,NE,FAMILY DISTURB,P160182332,3200 LYNDALE AV
03/05/2016 09:40:00 PM,Medium,ED,FAMILY DISTURB,P160652788,1700 HARFORD AV
03/05/2016 10:50:00 PM,Medium,NW,FAMILY DISTURB,P160652971,2800 WALDORF AV
03/05/2016 10:33:00 PM,Medium,ND,FAMILY DISTURB,P160652926,5600 READY AV
03/05/2016 11:14:00 PM,Medium,NE,FAMILY DISTURB,P160653043,5000 ANNTANA AV
03/05/2016 11:26:00 PM,Medium,ND,FAMILY DISTURB,P160653087,5100 SUNSET RD
03/05/2016 11:20:00 PM,Medium,SW,FAMILY DISTURB,P160653067,2600 W FAYETTE ST
03/05/2016 11:38:00 PM,Medium,NE,FAMILY DISTURB,P160653113,4300 ORCHARD RIDGE BL
03/05/2016 11:44:00 PM,Medium,NE,FAMILY DISTURB,P160653135,4100 HAMILTON AV
03/06/2016 12:32:00 AM,Medium,ED,FAMILY DISTURB,P160660064,1000 MC ALEER CT
03/06/2016 12:27:00 AM,Medium,SE,FAMILY DISTURB,P160660052,6600 HARTWAIT ST
03/06/2016 01:31:00 AM,Medium,SW,FAMILY DISTURB,P160660177,3200 NORMOUNT AV
03/06/2016 01:36:00 AM,Medium,NW,FAMILY DISTURB,P160660191,5800 BLAND AV
01/18/2016 07:54:00 PM,Medium,SE,FAMILY DISTURB,P160182371,3600 MT PLEASANT AV
01/18/2016 08:01:00 PM,Medium,NE,FAMILY DISTURB,P160182389,3400 FRANKFORD AV
03/06/2016 02:08:00 AM,Medium,SD,FAMILY DISTURB,P160660260,1300 WASHINGTON BL
03/06/2016 01:56:00 AM,Medium,ED,FAMILY DISTURB,P160660231,2600 E BIDDLE ST
03/06/2016 02:33:00 AM,Medium,ND,FAMILY DISTURB,P160660300,1100 E BELVEDERE AV
03/06/2016 02:42:00 AM,Medium,SD,FAMILY DISTURB,P160660323,100 W JEFFREY ST
03/06/2016 03:02:00 AM,Medium,SW,FAMILY DISTURB,P160660354,500 RANDOM RD
03/06/2016 03:44:00 AM,Medium,SW,FAMILY DISTURB,P160660417,600 YALE AV
03/06/2016 04:06:00 AM,Medium,SE,FAMILY DISTURB,P160660455,200 N SPRING CT
03/06/2016 06:31:00 AM,Medium,ND,FAMILY DISTURB,P160660566,2600 HAMPDEN AV
03/06/2016 04:28:00 AM,Medium,SW,FAMILY DISTURB,P160660479,600 LUCIA AV
03/06/2016 07:09:00 PM,Medium,SE,FAMILY DISTURB,P160662180,3400 LEVERTON AV
03/06/2016 08:15:00 AM,Medium,SE,FAMILY DISTURB,P160660665,200 N SPRING CT
03/06/2016 08:57:00 AM,Medium,NW,FAMILY DISTURB,P160660720,3000 GRANTLEY AV
03/06/2016 09:37:00 AM,Medium,NW,FAMILY DISTURB,P160660784,4000 ANNELLEN RD
03/06/2016 09:38:00 AM,Medium,SD,FAMILY DISTURB,P160660781,600 WASHINGTON BL
03/06/2016 10:24:00 AM,Medium,NW,FAMILY DISTURB,P160660859,3600 PARKVIEW AV
01/18/2016 08:49:00 PM,Medium,SW,FAMILY DISTURB,P160182508,0 S MORLEY ST
03/06/2016 11:21:00 AM,Medium,NE,FAMILY DISTURB,P160660985,1400 CROFTON RD
03/06/2016 11:23:00 AM,Medium,ED,FAMILY DISTURB,P160660986,2000 CLIFTWOOD AV
03/06/2016 11:48:00 AM,Medium,WD,FAMILY DISTURB,P160661045,1400 PRESSTMAN ST
03/06/2016 11:54:00 AM,Medium,WD,FAMILY DISTURB,P160661057,1400 PRESSTMAN ST
03/06/2016 12:08:00 PM,Medium,CD,FAMILY DISTURB,P160661094,500 DOLPHIN ST
03/06/2016 12:51:00 PM,Medium,SE,FAMILY DISTURB,P160661191,3800 MT PLEASANT AV
03/06/2016 01:43:00 PM,Medium,SW,FAMILY DISTURB,P160661307,400 S SMALLWOOD ST
03/06/2016 01:37:00 PM,Medium,SD,FAMILY DISTURB,P160661286,1300 SARGEANT ST
03/06/2016 01:42:00 PM,Medium,SW,FAMILY DISTURB,P160661303,400 S SMALLWOOD ST
03/06/2016 01:58:00 PM,Medium,NW,FAMILY DISTURB,P160661351,5500 LYNVIEW AV
03/06/2016 01:54:00 PM,Medium,SW,FAMILY DISTURB,P160661330,3100 GEORGETOWN RD
03/06/2016 02:12:00 PM,Medium,ED,FAMILY DISTURB,P160661395,1100 ABBOTT CT
03/06/2016 02:47:00 PM,Medium,NW,FAMILY DISTURB,P160661485,3300 DORITHAN RD
03/06/2016 03:10:00 PM,Medium,SW,FAMILY DISTURB,P160661553,3100 STAFFORD ST
03/06/2016 03:04:00 PM,Medium,SW,FAMILY DISTURB,P160661542,3100 GEORGETOWN RD
03/06/2016 03:31:00 PM,Medium,ED,FAMILY DISTURB,P160661598,300 E 23RD ST
03/06/2016 03:32:00 PM,Medium,ED,FAMILY DISTURB,P160661603,2000 ROBB ST
03/06/2016 03:18:00 PM,Medium,ND,FAMILY DISTURB,P160661567,2600 HAMPDEN AV
03/06/2016 03:13:00 PM,Medium,WD,FAMILY DISTURB,P160661559,800 BLK W FAYETTE ST
03/06/2016 03:44:00 PM,Medium,SW,FAMILY DISTURB,P160661636,1900 N FOREST PARK AV
03/06/2016 03:43:00 PM,Medium,NW,FAMILY DISTURB,P160661629,4400 GROVELAND AV
03/06/2016 03:41:00 PM,Medium,SE,FAMILY DISTURB,P160661625,300 MASON CT
03/06/2016 03:39:00 PM,Medium,SE,FAMILY DISTURB,P160661619,200 HERRING CT
03/06/2016 03:41:00 PM,Medium,SD,FAMILY DISTURB,P160661628,800 W LOMBARD ST
03/06/2016 04:34:00 PM,Medium,NE,FAMILY DISTURB,P160661755,3300 LAWNVIEW AV
03/06/2016 04:57:00 PM,Medium,WD,FAMILY DISTURB,P160661812,1500 N FULTON AV
03/06/2016 05:21:00 PM,Medium,NE,FAMILY DISTURB,P160661880,3800 RAVENWOOD AV
03/06/2016 05:24:00 PM,Medium,ED,FAMILY DISTURB,P160661888,1600 E EAGER ST
03/06/2016 05:18:00 PM,Medium,SW,FAMILY DISTURB,P160661867,2900 W NORTH AV
03/06/2016 06:20:00 PM,Medium,SD,FAMILY DISTURB,P160662026,1600 CEREAL ST
03/06/2016 06:47:00 PM,Medium,ED,FAMILY DISTURB,P160662092,1100 WILMOT CT
03/06/2016 07:21:00 PM,Medium,SE,FAMILY DISTURB,P160662195,3400 LEVERTON AV
03/06/2016 07:40:00 PM,Medium,SE,FAMILY DISTURB,P160662233,0 N CHESTER ST
03/06/2016 07:42:00 PM,Medium,SE,FAMILY DISTURB,P160662235,400 N LINWOOD AV
03/06/2016 07:37:00 PM,Medium,ED,FAMILY DISTURB,P160662227,1200 N BROADWAY
03/06/2016 08:15:00 PM,Medium,SW,FAMILY DISTURB,P160662318,2400 HERKIMER ST
03/06/2016 07:49:00 PM,Medium,SD,FAMILY DISTURB,P160662259,2500 SEABURY RD
03/06/2016 08:06:00 PM,Medium,SE,FAMILY DISTURB,P160662296,400 N KENWOOD AV
03/06/2016 08:29:00 PM,Medium,WD,FAMILY DISTURB,P160662347,1200 N CAREY ST
03/06/2016 09:20:00 PM,Medium,SW,FAMILY DISTURB,P160662456,3900 FLOWERTON RD
03/06/2016 09:07:00 PM,Medium,CD,FAMILY DISTURB,P160662429,900 DRUID PARK LAKE DR
03/06/2016 09:01:00 PM,Medium,CD,FAMILY DISTURB,P160662414,900 DRUID PARK LAKE DR
03/06/2016 09:31:00 PM,Medium,NE,FAMILY DISTURB,P160662478,5700 WOODMONT AV
03/06/2016 09:48:00 PM,Medium,SD,FAMILY DISTURB,P160662521,1200 W LOMBARD ST
03/06/2016 09:54:00 PM,Medium,CD,FAMILY DISTURB,P160662534,1500 EUTAW PL
03/06/2016 10:03:00 PM,Medium,SW,FAMILY DISTURB,P160662555,800 PRIMSON AV
03/06/2016 10:49:00 PM,Medium,NE,FAMILY DISTURB,P160662643,5700 WOODMONT AV
03/06/2016 11:14:00 PM,Medium,ED,FAMILY DISTURB,P160662702,800 HILLMAN CT
03/07/2016 12:11:00 AM,Medium,NE,FAMILY DISTURB,P160670035,7100 MCCLEAN BL
03/07/2016 12:10:00 AM,Medium,NE,FAMILY DISTURB,P160670029,7100 MCCLEAN BL
03/07/2016 01:38:00 AM,Medium,SE,FAMILY DISTURB,P160670182,600 S MACON ST
03/07/2016 01:35:00 AM,Medium,WD,FAMILY DISTURB,P160670170,300 N GILMOR ST
03/07/2016 02:07:00 AM,Medium,NE,FAMILY DISTURB,P160670209,1600 NORTHWICK RD
03/07/2016 02:05:00 AM,Medium,ED,FAMILY DISTURB,P160670203,2400 E LAFAYETTE AV
03/07/2016 02:13:00 AM,Medium,SE,FAMILY DISTURB,P160670219,200 S DALLAS CT
03/07/2016 01:51:00 AM,Medium,WD,FAMILY DISTURB,P160670192,1600 ASHBURTON ST
03/07/2016 04:21:00 AM,Medium,WD,FAMILY DISTURB,P160670340,300 N STRICKER ST
03/07/2016 06:02:00 AM,Medium,CD,FAMILY DISTURB,P160670424,100 E MT ROYAL AV
03/07/2016 06:59:00 AM,Medium,ND,FAMILY DISTURB,P160670489,2100 ST PAUL ST
03/07/2016 06:34:00 AM,Medium,WD,FAMILY DISTURB,P160670452,2500 WOODBROOK AV
03/07/2016 08:19:00 AM,Medium,NE,FAMILY DISTURB,P160670652,3000 CLEARVIEW AV
03/07/2016 08:11:00 AM,Medium,SD,FAMILY DISTURB,P160670628,3500 SPELMAN RD
03/07/2016 08:58:00 AM,Medium,SE,FAMILY DISTURB,P160670743,200 GRUNDY ST
03/07/2016 09:09:00 AM,Medium,SW,FAMILY DISTURB,P160670784,3100 STAFFORD ST
03/07/2016 09:26:00 AM,Medium,SE,FAMILY DISTURB,P160670828,300 OLDHAM ST
03/07/2016 09:35:00 AM,Medium,SW,FAMILY DISTURB,P160670853,3100 STAFFORD ST
03/07/2016 10:12:00 AM,Medium,ND,FAMILY DISTURB,P160670950,3200 WESTERWALD AV
03/07/2016 11:25:00 AM,Medium,ED,FAMILY DISTURB,P160671166,1400 N MILTON AV
03/07/2016 11:22:00 AM,Medium,NE,FAMILY DISTURB,P160671155,4300 GREENHILL AV
03/07/2016 11:51:00 AM,Medium,NE,FAMILY DISTURB,P160671256,4300 SHELDON AV
03/07/2016 11:45:00 AM,Medium,WD,FAMILY DISTURB,P160671240,1500 MOUNTMOR CT
03/07/2016 11:47:00 AM,Medium,NE,FAMILY DISTURB,P160671247,4300 SHELDON AV
03/07/2016 01:10:00 PM,Medium,NE,FAMILY DISTURB,P160671472,1500 UPSHIRE RD
03/07/2016 02:45:00 PM,Medium,SW,FAMILY DISTURB,P160671739,2200 TUCKER LN
03/07/2016 03:02:00 PM,Medium,NW,FAMILY DISTURB,P160671800,2900 RIDGEWOOD AV
03/07/2016 03:09:00 PM,Medium,ND,FAMILY DISTURB,P160671819,2100 DRUID PARK DR
03/07/2016 03:48:00 PM,Medium,SW,FAMILY DISTURB,P160671939,3400 BENSON AV
03/07/2016 04:31:00 PM,Medium,ND,FAMILY DISTURB,P160672077,5300 THE ALAMEDA
03/07/2016 09:22:00 PM,Medium,SD,FAMILY DISTURB,P160673056,1400 WASHINGTON BL
03/07/2016 09:42:00 PM,Medium,NW,FAMILY DISTURB,P160673104,3400 DOLFIELD AV
03/07/2016 06:10:00 PM,Medium,ED,FAMILY DISTURB,P160672438,2200 E CHASE ST
03/07/2016 03:58:00 PM,Medium,SE,FAMILY DISTURB,P160671968,3200 LEVERTON AV
03/07/2016 09:42:00 PM,Medium,NE,FAMILY DISTURB,P160673102,1400 PENTRIDGE RD
03/07/2016 07:25:00 PM,Medium,NW,FAMILY DISTURB,P160672692,2900 GRANTLEY AV
03/07/2016 03:47:00 PM,Medium,SE,FAMILY DISTURB,P160671932,3400 LEVERTON AV
03/07/2016 05:33:00 PM,Medium,CD,FAMILY DISTURB,P160672307,700 BRUNE ST
03/07/2016 05:49:00 PM,Medium,SW,FAMILY DISTURB,P160672359,1100 N LONGWOOD ST
03/07/2016 04:22:00 PM,Medium,SW,FAMILY DISTURB,P160672043,3200 CLIFTON AV
03/07/2016 05:05:00 PM,Medium,NE,FAMILY DISTURB,P160672208,4400 MORAVIA RD
03/07/2016 07:14:00 PM,Medium,SE,FAMILY DISTURB,P160672658,100 N COLLINGTON AV
03/07/2016 04:00:00 PM,Medium,NW,FAMILY DISTURB,P160671976,4000 EDGEWOOD RD
03/07/2016 03:28:00 PM,Medium,SW,FAMILY DISTURB,P160671879,3300 WILKENS AV
03/07/2016 05:36:00 PM,Medium,SW,FAMILY DISTURB,P160672316,4900 LINDSAY RD
03/07/2016 09:49:00 PM,Medium,SW,FAMILY DISTURB,P160673133,3100 STAFFORD ST
03/07/2016 09:51:00 PM,Medium,ED,FAMILY DISTURB,P160673151,800 N GLOVER ST
03/07/2016 06:35:00 PM,Medium,NW,FAMILY DISTURB,P160672527,4000 PARK HEIGHTS AV
03/07/2016 05:52:00 PM,Medium,SW,FAMILY DISTURB,P160672368,1100 N LONGWOOD ST
03/07/2016 09:37:00 PM,Medium,NE,FAMILY DISTURB,P160673093,1400 PENTRIDGE RD
03/07/2016 04:07:00 PM,Medium,NW,FAMILY DISTURB,P160671997,4000 EDGEWOOD RD
03/07/2016 09:46:00 PM,Medium,SW,FAMILY DISTURB,P160673112,3000 WALBROOK AV
03/07/2016 05:30:00 PM,Medium,NW,FAMILY DISTURB,P160672289,2900 RIDGEWOOD AV
